Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
5484,4020,14980,3.28,2.4,8.96
5464,4024,14800,3.29,2.47,8.89
5500,4032,14936,3.27,2.49,8.91
5524,4044,15188,3.3,2.38,9.04
5588,3984,15048,3.34,2.39,9
5564,4032,14992,3.37,2.45,8.96
5472,4156,15136,3.31,2.42,9.05
5588,4060,15028,3.31,2.48,8.95
5608,4028,15068,3.33,2.38,9.01
5652,4140,15052,3.35,2.42,8.99
6348,4360,15268,3.75,2.64,9.2
6236,4360,15192,3.7,2.56,9.15
6772,4692,14944,4.1,2.86,8.91
7092,5384,14484,4.29,3.23,8.65
6748,5108,13708,4.07,3.06,8.19
5856,5168,12724,3.48,3.08,7.56
4032,5140,12508,2.4,2.99,7.52
3076,5120,11620,1.73,3.04,6.97
4336,7312,13416,2.64,4.39,7.97
1752,8088,13692,0.93,4.66,8.15
504,10112,12636,0.34,6.08,7.64
1420,12600,12564,0.83,7.49,7.54
152,12912,10768,0.05,7.73,6.42
1628,15476,11876,1.04,9.28,7.1
1540,15700,9120,0.93,9.37,5.41
944,15352,7704,0.53,9.14,4.59
-72,15636,5880,0,9.36,3.58
1432,15220,5172,0.82,9.12,3.06
-1336,14824,4916,-0.78,8.83,2.99
724,14960,4156,0.41,8.92,2.58
-1456,15120,4132,-0.88,8.91,2.54
-748,15840,5076,-0.45,9.48,3.04
-56,15732,4316,-0.01,9.36,2.51
-1312,15364,3672,-0.81,9.23,2.19
76,15736,3992,0.04,9.42,2.37
-1076,15340,3700,-0.64,9.16,2.19
-472,15792,3472,-0.27,9.37,2.05
-556,15664,3488,-0.3,9.39,2.04
-944,15580,3396,-0.58,9.3,2.04
-468,15452,4092,-0.3,9.32,2.42
-488,15624,3716,-0.38,9.34,2.2
-376,15324,3652,-0.22,9.17,2.18
-248,15788,3772,-0.19,9.45,2.31
-1188,15260,3568,-0.65,9.11,2.06
-468,15684,3540,-0.3,9.38,2.08
-1004,15796,3164,-0.58,9.47,1.9
-492,15548,3764,-0.35,9.32,2.24
-640,15620,3516,-0.33,9.38,2.09
-152,15996,3584,-0.14,9.5,2.18
-968,15436,3676,-0.61,9.26,2.15
-1152,15776,2864,-0.8,9.38,1.72
-1668,15456,3276,-1,9.16,1.89
-1716,15348,2696,-1.02,9.23,1.63
-488,16140,3184,-0.3,9.56,1.79
-672,15384,3632,-0.46,9.22,2.17
-340,15648,3484,-0.19,9.3,2.1
-912,15724,3236,-0.52,9.49,1.88
-420,15460,3632,-0.26,9.24,2.18
-400,15616,3376,-0.22,9.3,2.05
-608,15476,3428,-0.35,9.25,2.11
-352,15540,3676,-0.2,9.31,2.19
-44,15508,3572,-0.05,9.3,2.08
-236,15592,3828,-0.12,9.31,2.27
-312,15576,3812,-0.08,9.28,2.23
-1540,15328,3092,-0.89,9.14,1.91
-404,15612,3724,-0.21,9.29,2.22
-644,15576,3524,-0.39,9.31,2.05
-256,15660,3492,-0.24,9.35,2.1
-212,15612,3672,-0.12,9.25,2.14
-348,15552,3592,-0.24,9.3,2.16
-352,15572,3540,-0.2,9.38,2.1
-248,15992,3632,-0.13,9.55,2.22
1704,17768,6996,1.03,10.69,4.3
2672,19776,9964,1.58,11.86,6
-2844,16736,12148,-1.67,10,7.32
296,13936,12196,0.18,8.34,7.3
-1160,10556,11932,-0.72,6.34,7.16
1140,8732,13112,0.68,5.22,7.84
5988,5524,12736,3.58,3.21,7.64
8368,1960,11484,4.97,1.13,6.83
8628,-452,11548,5.2,-0.22,7.01
8044,-1184,12288,4.88,-0.69,7.36
7564,-1684,12764,4.48,-1.02,7.68
9332,-1060,13828,5.58,-0.63,8.27
12276,-516,13152,7.33,-0.38,7.9
10440,-2012,11072,6.27,-1.2,6.61
11472,-1512,10460,6.89,-0.94,6.23
11732,-1876,11048,7.09,-1.19,6.61
11528,-2772,11416,6.92,-1.62,6.78
12112,-2856,11328,7.29,-1.71,6.85
11672,-3436,11476,6.97,-2.02,6.86
11404,-3384,11000,6.82,-2.05,6.57
7032,-4788,3872,4.09,-2.84,2.28
4720,6096,10340,2.94,3.89,6.25
2068,18304,19060,1.31,11.02,11.42
9264,17812,19296,5.53,10.56,11.72
3196,5800,10968,1.86,3.39,6.45
7376,-636,6456,4.47,-0.43,3.86
5760,-7180,7176,3.46,-4.37,4.35
11820,-5784,10688,7.11,-3.45,6.37
10432,-4632,12520,6.24,-2.74,7.47
10936,-3484,13064,6.48,-2.03,7.85
9876,-944,11044,5.95,-0.61,6.53
11112,-144,9376,6.62,-0.13,5.59
10260,520,9792,6.2,0.29,5.92
9724,1056,11728,5.78,0.61,6.97
8848,1772,13760,5.3,1.06,8.22
8136,3240,15252,4.84,1.92,9.04
7252,4292,15280,4.32,2.66,9.12
5988,6500,15596,3.55,3.86,9.28
3776,8692,12972,2.21,5.25,7.72
3536,11180,12720,2.09,6.76,7.58
3140,12880,11464,1.91,7.69,6.78
1880,13944,10224,1.02,8.41,6
1676,13740,9648,1.02,8.25,5.79
3124,16020,8580,1.97,9.6,5.03
944,16380,7896,0.46,9.79,4.65
-364,16176,4144,-0.22,9.75,2.47
820,15560,4628,0.47,9.28,2.76
1260,16132,3776,0.72,9.64,2.3
-4,16120,2816,-0.07,9.61,1.66
244,16960,3296,0.14,10.07,1.9
40,15100,3004,0.03,9.09,1.79
140,15472,3340,0.13,9.28,1.98
-224,15744,2960,-0.08,9.46,1.7
-196,15528,3528,-0.08,9.3,2.05
-96,15912,3596,-0.06,9.48,2.13
-84,15492,3408,-0.14,9.28,2.06
-284,15540,3256,-0.26,9.34,1.99
-452,15612,3528,-0.21,9.33,2.15
-44,15672,3652,0,9.33,2.14
-396,15588,3344,-0.25,9.38,2.02
-496,15532,3512,-0.29,9.24,2.07
-140,15624,3620,-0.1,9.4,2.17
-288,15660,3708,-0.19,9.36,2.16
-372,15508,3480,-0.28,9.28,2.15
-152,15576,3752,-0.09,9.29,2.21
-240,15600,3544,-0.21,9.34,2.15
-156,15620,3600,-0.16,9.34,2.17
-284,15580,3716,-0.15,9.28,2.25
-352,15448,3720,-0.31,9.26,2.22
-120,15508,3668,-0.07,9.31,2.21
-304,15584,3548,-0.18,9.29,2.14
-380,15568,3512,-0.28,9.28,2.03
-396,15544,3716,-0.26,9.3,2.26
-208,15416,3436,-0.1,9.25,2.02
-352,15576,3672,-0.18,9.31,2.16
-364,15480,3700,-0.18,9.25,2.22
-108,15596,3560,-0.1,9.37,2.04
-456,15500,3520,-0.28,9.27,2.09
-256,15436,3580,-0.14,9.23,2.15
-296,15668,3504,-0.21,9.37,2.11
-308,15468,3668,-0.21,9.31,2.2
-296,15508,3536,-0.12,9.32,2.12
-404,15684,3464,-0.22,9.35,2.06
-456,15660,3660,-0.28,9.37,2.18
-284,15488,3552,-0.13,9.27,2.16
-400,15528,3564,-0.23,9.28,2.2
-320,15596,3436,-0.17,9.29,2.14
-328,15556,3588,-0.19,9.33,2.11
-360,15468,3736,-0.24,9.26,2.26
-172,15680,3484,-0.12,9.41,2.15
-284,15580,3488,-0.15,9.23,2.07
-404,15524,3680,-0.23,9.28,2.19
-452,15540,3556,-0.35,9.33,2.11
-200,15708,3184,-0.17,9.41,1.94
-208,15564,3604,-0.13,9.34,2.19
-556,15484,3476,-0.37,9.28,2
-544,15476,3392,-0.21,9.33,1.95
-360,15660,3596,-0.22,9.37,2.15
-620,15444,3624,-0.4,9.31,2.19
-304,15588,3476,-0.14,9.26,2.08
