Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
3496,4436,15552,2.05,2.71,9.3
3084,4544,15392,1.83,2.73,9.24
3460,4692,15568,2.07,2.73,9.22
3256,4464,15424,1.9,2.73,9.19
3448,4492,15524,2.06,2.76,9.36
3384,4584,15536,2.06,2.69,9.28
3276,4424,15224,1.95,2.69,9.15
3392,4548,15536,2.01,2.74,9.31
3364,4528,15496,2.02,2.75,9.23
3532,4792,15424,2.04,2.84,9.25
4104,5068,15640,2.5,2.99,9.38
2912,5216,15692,1.78,3.13,9.33
5548,5712,15340,3.36,3.37,9.18
5132,5832,14300,3,3.45,8.46
5144,5104,13384,3.06,3.12,7.91
4788,5300,12980,2.78,3.09,7.83
2604,5952,12136,1.55,3.59,7.17
5128,7152,13656,2.92,4.3,8.13
3624,7596,13488,2.2,4.59,8.1
3516,8536,12608,2.08,5.06,7.57
4500,9340,12660,2.66,5.57,7.59
2660,11868,11924,1.58,7.18,7.19
2964,13016,10828,1.8,7.8,6.47
4704,15352,10912,2.82,9.16,6.55
4432,16276,7504,2.67,9.73,4.51
3172,16092,4432,1.84,9.61,2.65
2392,15748,4736,1.48,9.4,2.89
1940,15140,4444,1.23,9.08,2.68
876,16136,4784,0.51,9.66,2.9
3316,16640,4564,1.97,9.94,2.7
3096,15452,2880,1.85,9.24,1.72
2472,15640,1856,1.52,9.35,1.1
1800,14972,2932,1.04,8.93,1.77
1760,15240,4064,1.01,9.02,2.42
2684,15980,3836,1.61,9.53,2.26
1724,15400,3268,1.06,9.25,1.97
1948,15252,3812,1.18,9.14,2.31
1924,15568,3580,1.15,9.31,2.22
2024,15600,3644,1.22,9.25,2.18
1896,15468,3600,1.12,9.24,2.17
2040,15536,3536,1.19,9.3,2.23
1884,15600,3624,1.21,9.34,2.17
2060,15516,3692,1.25,9.31,2.19
2248,15452,3596,1.4,9.17,2.11
1884,15644,3536,1.1,9.32,2.06
2024,15496,3588,1.26,9.28,2.12
2160,15520,3472,1.33,9.3,1.99
2248,15648,3552,1.29,9.35,2.16
1984,15440,3260,1.22,9.28,2
2028,15620,3596,1.16,9.41,2.08
1976,15480,3520,1.16,9.26,2.06
2136,15428,3364,1.28,9.23,2.01
1908,15544,3396,1.16,9.27,2.03
1852,15592,3608,1.16,9.31,2.12
2176,15488,3148,1.22,9.27,1.93
2172,15576,3280,1.32,9.35,1.97
1976,15520,3340,1.21,9.28,1.96
2280,15604,3364,1.35,9.38,1.98
2240,15608,3200,1.36,9.33,1.85
1976,15492,3284,1.21,9.31,2.01
2044,15516,3408,1.2,9.3,2.02
2136,15428,3216,1.28,9.26,1.95
2072,15504,3364,1.23,9.26,1.96
1992,15540,3348,1.18,9.31,2.01
2116,15600,3452,1.27,9.3,2.05
2216,15508,3300,1.26,9.28,2.03
1976,15548,3548,1.12,9.29,2.08
1952,15416,3392,1.18,9.24,1.95
2392,15704,3428,1.41,9.4,2.06
2008,15644,3508,1.18,9.36,2.06
1616,15432,3280,1.06,9.21,1.98
2084,15508,3332,1.26,9.3,2.03
2044,15548,3364,1.22,9.3,2.01
1868,15528,3328,1.11,9.3,2
1932,15532,3436,1.17,9.31,2.04
2112,15412,3440,1.3,9.26,2
1992,15580,3156,1.25,9.34,1.86
1912,15436,3552,1.08,9.24,2.12
1992,15512,3496,1.22,9.26,2.11
3364,16448,4620,2,9.83,2.79
4760,17292,7256,2.88,10.29,4.43
2504,16684,8696,1.52,9.97,5.36
732,15816,10812,0.4,9.43,6.5
1660,15240,14024,1.05,9.09,8.4
3168,12368,13564,1.96,7.37,8.11
2600,9280,13528,1.56,5.51,7.98
4048,4800,12912,2.42,2.9,7.7
7672,1532,10736,4.58,0.87,6.42
7640,72,11236,4.66,0.01,6.78
10100,1276,11664,5.99,0.7,6.86
9808,728,12604,5.81,0.39,7.51
10224,956,12872,6.11,0.5,7.79
10700,2760,12320,6.38,1.58,7.44
9376,2148,12752,5.55,1.28,7.57
9672,1084,13568,5.72,0.63,8.04
9392,-116,13464,5.66,-0.06,8.1
8612,-276,14060,5.18,-0.18,8.39
11448,2004,18680,6.95,1.3,11.22
17584,4640,24756,10.47,2.68,14.76
2284,-3860,5752,1.35,-2.35,3.44
2628,-12076,-5532,1.51,-7.38,-3.49
6100,-9968,-3228,3.72,-5.9,-1.86
6528,-3940,10156,3.91,-2.34,6.13
8296,2484,20212,4.8,1.77,12.1
15324,5112,23532,9.05,3.04,14.01
6924,580,16024,4.1,0.3,9.56
6580,-424,13436,3.97,-0.21,7.99
7308,-176,14208,4.4,-0.09,8.51
8112,764,15344,4.85,0.43,9.1
7420,560,14964,4.46,0.38,8.93
7632,748,14984,4.6,0.48,9.02
7692,688,14844,4.57,0.37,8.95
7596,840,14704,4.5,0.5,8.85
7788,1000,14340,4.64,0.63,8.53
8296,2124,13756,4.94,1.28,8.24
8376,2656,12936,5.02,1.58,7.76
9040,2936,13036,5.42,1.71,7.8
8512,4004,13268,5.09,2.36,8.03
7660,4180,13136,4.56,2.52,7.85
5932,4052,13532,3.54,2.46,8
5728,4248,14264,3.4,2.6,8.51
7164,4004,14736,4.24,2.34,8.87
4004,5260,13380,2.47,3.03,7.89
3980,5308,14160,2.38,3.18,8.47
5748,8072,14104,3.42,4.86,8.43
6680,9156,14380,3.91,5.46,8.57
4888,10472,13324,2.98,6.29,7.83
4392,10096,12376,2.63,6.04,7.4
3224,10912,11952,1.93,6.56,7.11
4020,11604,11732,2.11,7.09,6.82
2496,13904,10056,1.43,8.27,6.09
4412,13680,9296,2.57,8.15,5.53
-300,15068,6568,-0.26,8.99,3.95
684,13748,7332,0.4,8.27,4.39
1352,15600,7048,0.81,9.35,4.26
884,16464,6160,0.53,9.87,3.61
-24,15104,5672,0.02,9.05,3.43
204,14736,5052,0.15,8.8,3.01
112,15052,4816,0.13,9.03,2.82
-440,14880,5024,-0.25,8.92,3.05
820,15564,5228,0.46,9.29,3.14
-20,15144,5272,0,9.1,3.21
-88,15080,5196,-0.08,9.09,3.11
72,14924,5268,0.03,8.93,3.2
44,14960,5284,0.11,8.93,3.09
228,14968,5624,0.12,8.96,3.35
48,15168,5388,0,9.03,3.27
188,14964,5432,0.11,8.99,3.19
96,14960,5204,-0.01,8.92,3.21
100,15176,5388,0.04,9.05,3.17
76,15024,5288,0.09,8.98,3.21
272,14996,5448,0.13,9,3.25
-92,15012,5352,-0.06,8.98,3.19
24,14916,5480,0.02,8.91,3.22
228,15136,5288,0.17,9.1,3.16
272,15192,5372,0.22,9.07,3.22
0,14936,5276,0,8.91,3.22
16,15080,5368,0.02,9.06,3.23
296,15060,5300,0.22,8.98,3.13
328,15248,5456,0.22,9.11,3.17
80,14916,5268,0.04,8.94,3.2
192,15012,5296,0.1,9.04,3.21
288,15180,5236,0.17,9.09,3.18
132,14944,5328,0.09,8.98,3.11
40,14972,5256,0.06,8.96,3.28
268,15024,5504,0.16,8.97,3.32
